Date,Open,High,Low,Close,Volume
04/04/2023,"99.06","99.90","98.98","99.86","616,629"
04/03/2023,"98.78","98.98","98.16","98.62","480,377"
03/31/2023,"97.68","99.60","97.66","99.06","643,776"
03/30/2023,"98.60","98.82","97.36","97.58","518,694"
03/29/2023,"96.76","98.58","96.76","98.44","524,812"
03/28/2023,"97.78","97.92","95.94","96.70","587,277"
03/27/2023,"98.10","98.82","97.60","97.60","716,418"
03/24/2023,"97.92","98.30","97.46","97.74","621,637"
03/23/2023,"97.94","98.02","96.86","97.64","439,229"
03/22/2023,"96.64","98.12","96.56","97.88","446,490"
03/21/2023,"95.80","96.76","95.56","96.58","583,056"
03/20/2023,"95.60","95.66","94.18","95.08","854,169"
03/17/2023,"97.00","97.38","95.08","95.14","1,629,269"
03/16/2023,"96.68","97.80","96.10","97.62","805,130"
03/15/2023,"96.82","97.14","94.74","95.62","945,080"
03/14/2023,"95.76","97.08","95.56","96.68","607,252"
03/13/2023,"98.44","98.44","95.48","96.06","959,416"
03/10/2023,"98.50","99.06","97.40","98.68","649,129"
03/09/2023,"98.14","99.40","98.14","98.94","456,028"
03/08/2023,"97.94","98.80","97.94","98.30","492,370"
03/07/2023,"97.94","98.20","97.24","97.42","636,572"
03/06/2023,"98.86","98.88","98.00","98.12","453,215"
03/03/2023,"99.38","99.40","98.14","98.56","432,694"
03/02/2023,"96.26","98.94","95.68","98.64","562,144"
03/01/2023,"96.74","97.38","96.06","96.40","620,277"
02/28/2023,"96.26","96.92","95.88","96.50","997,887"
02/27/2023,"97.10","97.96","96.46","96.62","750,036"
02/24/2023,"97.50","98.38","96.72","97.10","664,235"
02/23/2023,"98.28","98.64","97.14","97.28","745,350"
02/22/2023,"96.78","98.56","96.56","98.38","771,040"
02/21/2023,"96.80","97.68","96.50","96.92","1,022,792"
02/20/2023,"96.62","97.36","96.16","96.58","970,466"
02/17/2023,"94.14","95.88","93.00","95.66","1,903,874"
02/16/2023,"93.80","95.22","92.34","94.28","1,281,217"
02/15/2023,"91.00","93.94","90.84","93.78","747,287"
